Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
-12.95916667,19.7925,22258,2016-10-05,1,-1,-1,-1,-1,-1,-1,-1,-1
49.51444444,16.70666667,22259,2016-04-14,1,-1,-1,-1,-1,-1,-1,-1,-1
43.12888889,10.63527778,22260,2016-09-06,1,-1,-1,-1,-1,-1,-1,-1,-1
44.48333333,16.31666667,22261,2016-06-25,1,-1,-1,-1,-1,-1,-1,-1,-1
44.25,15.01666667,22262,2016-06-25,1,-1,-1,-1,-1,-1,-1,-1,-1
45.2,13.85,22263,2016-06-26,1,-1,-1,-1,-1,-1,-1,-1,-1
47.42222222,13.69472222,22264,2016-03-31,1,-1,-1,-1,-1,-1,-1,-1,-1
45.71666667,14.8,22265,2016-06-10,1,-1,-1,-1,-1,-1,-1,-1,-1
48.83333333,16.41666667,22266,2016-06-12,1,-1,-1,-1,-1,-1,-1,-1,-1
48.91666667,15.98333333,22267,2016-06-13,1,-1,-1,-1,-1,-1,-1,-1,-1
66.76916667,25.35583333,22268,2016-08-03,1,-1,-1,-1,-1,-1,-1,-1,-1
-16.08083333,17.20111111,22269,2016-10-11,1,-1,-1,-1,-1,-1,-1,-1,-1
44.5025,13.34,22270,2016-07-01,1,-1,-1,-1,-1,-1,-1,-1,-1
44.35,13.28333333,22271,2016-07-26,1,-1,-1,-1,-1,-1,-1,-1,-1
-13.28916667,20.215,22272,2016-12-01,1,-1,-1,-1,-1,-1,-1,-1,-1
-13.62055556,19.84861111,22273,2016-10-04,1,-1,-1,-1,-1,-1,-1,-1,-1
-15.63083333,17.86222222,22274,2016-10-02,1,-1,-1,-1,-1,-1,-1,-1,-1
66.7225,25.25194444,22275,2016-08-11,1,-1,-1,-1,-1,-1,-1,-1,-1
66.76861111,25.3575,22276,2016-08-04,1,-1,-1,-1,-1,-1,-1,-1,-1
38.31083333,18.11277778,22277,2018-12-28,1,-1,-1,-1,-1,-1,-1,-1,-1
38.39972222,17.84666667,22278,2018-12-29,1,-1,-1,-1,-1,-1,-1,-1,-1
38.38388889,17.81972222,22279,2018-12-26,1,-1,-1,-1,-1,-1,-1,-1,-1
38.1625,18.20833333,22280,2019-01-27,1,-1,-1,-1,-1,-1,-1,-1,-1
38.1625,18.20833333,22281,2019-01-27,1,-1,-1,-1,-1,-1,-1,-1,-1
37.71194444,18.43638889,22282,2019-01-28,1,-1,-1,-1,-1,-1,-1,-1,-1
37.86611111,18.29361111,22283,2019-01-28,1,-1,-1,-1,-1,-1,-1,-1,-1
37.26833333,19.31666667,22284,2019-01-29,1,-1,-1,-1,-1,-1,-1,-1,-1
36.43666667,22.33583333,22285,2019-01-29,1,-1,-1,-1,-1,-1,-1,-1,-1
37.36416667,19.00555556,22286,2019-01-30,1,-1,-1,-1,-1,-1,-1,-1,-1
38.31083333,18.11222222,22287,2019-01-24,1,-1,-1,-1,-1,-1,-1,-1,-1
37.27638889,19.3225,22288,2019-01-25,1,-1,-1,-1,-1,-1,-1,-1,-1
52.71666667,24.1,22289,2019-01-16,1,-1,-1,-1,-1,-1,-1,-1,-1
54.48333333,24.28333333,22290,2019-01-16,1,-1,-1,-1,-1,-1,-1,-1,-1
38.40805556,17.99888889,22291,2019-01-03,1,-1,-1,-1,-1,-1,-1,-1,-1
38.34583333,17.85166667,22292,2019-01-04,1,-1,-1,-1,-1,-1,-1,-1,-1
38.33916667,17.92194444,22293,2019-01-06,1,-1,-1,-1,-1,-1,-1,-1,-1
38.38194444,17.83277778,22294,2019-01-06,1,-1,-1,-1,-1,-1,-1,-1,-1
38.35861111,17.93527778,22295,2019-01-02,1,-1,-1,-1,-1,-1,-1,-1,-1
38.39472222,17.84777778,22296,2019-01-01,1,-1,-1,-1,-1,-1,-1,-1,-1
38.36944444,17.76472222,22297,2019-01-01,1,-1,-1,-1,-1,-1,-1,-1,-1
38.36972222,17.76472222,22298,2019-01-01,1,-1,-1,-1,-1,-1,-1,-1,-1
38.35472222,17.75722222,22299,2019-01-16,1,-1,-1,-1,-1,-1,-1,-1,-1
37.86888889,18.27944444,22300,2019-01-20,1,-1,-1,-1,-1,-1,-1,-1,-1
38.3175,17.89055556,22301,2019-01-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.59722222,18.47277778,22302,2019-01-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.60361111,18.47361111,22303,2019-01-21,1,-1,-1,-1,-1,-1,-1,-1,-1
37.70416667,18.38305556,22304,2019-01-22,1,-1,-1,-1,-1,-1,-1,-1,-1
37.72111111,18.38027778,22305,2019-01-22,1,-1,-1,-1,-1,-1,-1,-1,-1
37.35583333,19.03,22306,2019-01-23,1,-1,-1,-1,-1,-1,-1,-1,-1
37.87027778,18.28777778,22307,2019-01-10,1,-1,-1,-1,-1,-1,-1,-1,-1
45.85444444,20.81972222,22308,2019-01-08,1,-1,-1,-1,-1,-1,-1,-1,-1
45.8475,21.01972222,22309,2019-01-08,1,-1,-1,-1,-1,-1,-1,-1,-1
49.69222222,25.41805556,22310,2019-01-24,1,-1,-1,-1,-1,-1,-1,-1,-1
39.51944444,15.52,22311,2019-01-28,1,-1,-1,-1,-1,-1,-1,-1,-1
