Row,Latitude ,Longitude ,ID,Time,Locust,Soil_Moisture,Wind,Vegetation_Index,Humidity_D,Humidity_N,Elevation,Temperature_D,Temperature_N
0,-12.95916667,19.7925,22258,10/5/2016,1,#ffe300,#636967,#636967,#636967,#636967,#cfc40a,#636967,#636967
1,49.51444444,16.70666667,22259,4/14/2016,1,#00b164,#e7e7e7,#e7e7e7,#e7e7e7,#e7e7e7,#4ac233,#e7e7e7,#e7e7e7
2,43.12888889,10.63527778,22260,9/6/2016,1,#ffec00,#f5dcdf,#f5dcdf,#f5dcdf,#f5dcdf,#57c52e,#f5dcdf,#f5dcdf
3,44.48333333,16.31666667,22261,6/25/2016,1,#00bd7c,#cccecb,#cccecb,#cccecb,#cccecb,#cbca0a,#cccecb,#cccecb
4,44.25,15.01666667,22262,6/25/2016,1,#3b9d00,#29333d,#29333d,#29333d,#29333d,#29333d,#29333d,#29333d
5,45.2,13.85,22263,6/26/2016,1,#3b9d00,#34412d,#34412d,#34412d,#34412d,#0fb348,#34412d,#34412d
6,47.42222222,13.69472222,22264,3/31/2016,1,#00f9ff,#707a79,#707a79,#707a79,#707a79,#c5d30b,#707a79,#707a79
7,45.71666667,14.8,22265,6/10/2016,1,#00fcf9,#f5f5f3,#f5f5f3,#f5f5f3,#f5f5f3,#4ac233,#f5f5f3,#f5f5f3
8,48.83333333,16.41666667,22266,6/12/2016,1,#e1f000,#c6d1cd,#c6d1cd,#c6d1cd,#c6d1cd,#009c41,#c6d1cd,#c6d1cd
9,48.91666667,15.98333333,22267,6/13/2016,1,#a0cf00,#a1a7a5,#a1a7a5,#a1a7a5,#a1a7a5,#1cb643,#a1a7a5,#a1a7a5
10,66.76916667,25.35583333,22268,8/3/2016,1,#00850c,#e8e8e8,#e8e8e8,#e8e8e8,#e8e8e8,#00933b,#e8e8e8,#e8e8e8
11,-16.08083333,17.20111111,22269,10/11/2016,1,#ffc100,#7d7670,#7d7670,#7d7670,#7d7670,#c9cc0b,#7d7670,#7d7670
12,44.5025,13.34,22270,7/1/2016,1,#353942,#353942,#73d4d7,#5cc8d4,#353942,#353942,#353942,#353942
13,44.35,13.28333333,22271,7/26/2016,1,#0b1320,#0b1320,#0b1320,#0b1320,#0b1320,#0b1320,#0b1320,#0b1320
14,-13.28916667,20.215,22272,12/1/2016,1,#e1f000,#056401,#cdfce5,#1f91a9,#056401,#cdc60a,#fff700,#d7ff00
15,-13.62055556,19.84861111,22273,10/4/2016,1,#ffe300,#e4e0e1,#e4e0e1,#e4e0e1,#e4e0e1,#c9cd0b,#e4e0e1,#e4e0e1
16,-15.63083333,17.86222222,22274,10/2/2016,1,#ffc400,#5b4a42,#5b4a42,#5b4a42,#5b4a42,#ccc90a,#5b4a42,#5b4a42
17,66.7225,25.25194444,22275,8/11/2016,1,#505050,#c4c4c6,#c4c4c6,#c4c4c6,#c4c4c6,#009e43,#c4c4c6,#c4c4c6
18,66.76861111,25.3575,22276,8/4/2016,1,#008b19,#c2c3c5,#c2c3c5,#c2c3c5,#c2c3c5,#00923a,#c2c3c5,#c2c3c5
19,38.31083333,18.11277778,22277,12/28/2018,1,#a397a3,#a397a3,#a397a3,#a397a3,#a397a3,#a397a3,#a397a3,#a397a3
20,38.39972222,17.84666667,22278,12/29/2018,1,#172736,#172736,#172736,#172736,#172736,#172736,#172736,#172736
21,38.38388889,17.81972222,22279,12/26/2018,1,#988e8f,#988e8f,#988e8f,#988e8f,#988e8f,#988e8f,#988e8f,#988e8f
22,38.1625,18.20833333,22280,1/27/2019,1,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723
23,38.1625,18.20833333,22281,1/27/2019,1,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723,#0d1723
24,37.71194444,18.43638889,22282,1/28/2019,1,#293241,#293241,#293241,#293241,#293241,#293241,#293241,#293241
25,37.86611111,18.29361111,22283,1/28/2019,1,#3a4a59,#3a4a59,#3a4a59,#3a4a59,#3a4a59,#3a4a59,#3a4a59,#3a4a59
26,37.26833333,19.31666667,22284,1/29/2019,1,#c8c8c8,#c8c8c8,#c8c8c8,#c8c8c8,#c8c8c8,#c8c8c8,#c8c8c8,#c8c8c8
27,36.43666667,22.33583333,22285,1/29/2019,1,#cccdcf,#cccdcf,#cccdcf,#cccdcf,#cccdcf,#cccdcf,#cccdcf,#cccdcf
28,37.36416667,19.00555556,22286,1/30/2019,1,#b7b8bc,#b7b8bc,#b7b8bc,#b7b8bc,#b7b8bc,#b7b8bc,#b7b8bc,#b7b8bc
29,38.31083333,18.11222222,22287,1/24/2019,1,#e7e6eb,#e7e6eb,#e7e6eb,#e7e6eb,#e7e6eb,#e7e6eb,#e7e6eb,#e7e6eb
30,37.27638889,19.3225,22288,1/25/2019,1,#d5d4d9,#d5d4d9,#d5d4d9,#d5d4d9,#d5d4d9,#d5d4d9,#d5d4d9,#d5d4d9
31,52.71666667,24.1,22289,1/16/2019,1,#0000ed,#b3b4b8,#b3b4b8,#b3b4b8,#b3b4b8,#009f43,#b3b4b8,#b3b4b8
32,54.48333333,24.28333333,22290,1/16/2019,1,#00a44b,#dcdfe4,#dcdfe4,#dcdfe4,#dcdfe4,#008f38,#dcdfe4,#dcdfe4
33,38.40805556,17.99888889,22291,1/3/2019,1,#c6cacd,#c6cacd,#c6cacd,#c6cacd,#c6cacd,#c6cacd,#c6cacd,#c6cacd
34,38.34583333,17.85166667,22292,1/4/2019,1,#b0b7bf,#b0b7bf,#b0b7bf,#b0b7bf,#b0b7bf,#b0b7bf,#b0b7bf,#b0b7bf
35,38.33916667,17.92194444,22293,1/6/2019,1,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c
36,38.38194444,17.83277778,22294,1/6/2019,1,#b7b7b5,#b7b7b5,#b7b7b5,#b7b7b5,#b7b7b5,#b7b7b5,#b7b7b5,#b7b7b5
37,38.35861111,17.93527778,22295,1/2/2019,1,#4e6974,#4e6974,#4e6974,#4e6974,#4e6974,#4e6974,#4e6974,#4e6974
38,38.39472222,17.84777778,22296,1/1/2019,1,#536070,#536070,#82dbd6,#6aced6,#536070,#536070,#536070,#536070
39,38.36944444,17.76472222,22297,1/1/2019,1,#3c4856,#3c4856,#82dbd6,#6aced6,#3c4856,#3c4856,#3c4856,#3c4856
40,38.36972222,17.76472222,22298,1/1/2019,1,#3c4856,#3c4856,#82dbd6,#6aced6,#3c4856,#3c4856,#3c4856,#3c4856
41,38.35472222,17.75722222,22299,1/16/2019,1,#08111a,#08111a,#08111a,#08111a,#08111a,#08111a,#08111a,#08111a
42,37.86888889,18.27944444,22300,1/20/2019,1,#fbfbf9,#fbfbf9,#fbfbf9,#fbfbf9,#fbfbf9,#fbfbf9,#fbfbf9,#fbfbf9
43,38.3175,17.89055556,22301,1/21/2019,1,#95999c,#95999c,#95999c,#95999c,#95999c,#95999c,#95999c,#95999c
44,37.59722222,18.47277778,22302,1/21/2019,1,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c,#929a9c
45,37.60361111,18.47361111,22303,1/21/2019,1,#6c7779,#6c7779,#6c7779,#6c7779,#6c7779,#6c7779,#6c7779,#6c7779
46,37.70416667,18.38305556,22304,1/22/2019,1,#18222e,#18222e,#18222e,#18222e,#18222e,#18222e,#18222e,#18222e
47,37.72111111,18.38027778,22305,1/22/2019,1,#18222e,#18222e,#18222e,#18222e,#18222e,#18222e,#18222e,#18222e
48,37.35583333,19.03,22306,1/23/2019,1,#f4f6f5,#f4f6f5,#f4f6f5,#f4f6f5,#f4f6f5,#f4f6f5,#f4f6f5,#f4f6f5
49,37.87027778,18.28777778,22307,1/10/2019,1,#d8d9db,#d8d9db,#d8d9db,#d8d9db,#d8d9db,#d8d9db,#d8d9db,#d8d9db
50,45.85444444,20.81972222,22308,1/8/2019,1,#3b9d00,#f3f5f4,#f3f5f4,#f3f5f4,#f3f5f4,#008733,#f3f5f4,#f3f5f4
51,45.8475,21.01972222,22309,1/8/2019,1,#3b9d00,#eeeff1,#eeeff1,#eeeff1,#eeeff1,#008733,#eeeff1,#eeeff1
52,49.69222222,25.41805556,22310,1/24/2019,1,#00c183,#dbdfe2,#dbdfe2,#dbdfe2,#dbdfe2,#1fb742,#dbdfe2,#dbdfe2
53,39.51944444,15.52,22311,1/28/2019,1,#5e6a7a,#5e6a7a,#5e6a7a,#5e6a7a,#5e6a7a,#5e6a7a,#5e6a7a,#5e6a7a
54,39.2875,15.87861111,22312,1/29/2019,1,#162538,#162538,#162538,#162538,#162538,#162538,#162538,#162538
55,39.31777778,15.77055556,22313,1/30/2019,1,#a0a4a7,#a0a4a7,#a0a4a7,#a0a4a7,#a0a4a7,#a0a4a7,#a0a4a7,#a0a4a7
56,39.37055556,15.70416667,22314,1/28/2019,1,#41556e,#41556e,#41556e,#41556e,#41556e,#41556e,#41556e,#41556e
57,38.92416667,23.03083333,22315,1/24/2019,1,#00e3c7,#8e9295,#8e9295,#8e9295,#8e9295,#8e9295,#8e9295,#8e9295
58,39.30944444,22.44305556,22316,1/16/2019,1,#0094ff,#e6e5e3,#e6e5e3,#e6e5e3,#e6e5e3,#00973e,#e6e5e3,#e6e5e3
59,39.205,22.90527778,22317,1/21/2019,1,#00f6ec,#121f27,#121f27,#121f27,#121f27,#121f27,#121f27,#121f27
60,49.12805556,23.28638889,22318,1/21/2019,1,#009832,#e0e1e5,#e0e1e5,#e0e1e5,#e0e1e5,#c0dd0b,#e0e1e5,#e0e1e5
61,39.34861111,22.56694444,22319,1/21/2019,1,#00acff,#4d4a37,#4d4a37,#4d4a37,#4d4a37,#1cb643,#4d4a37,#4d4a37
62,38.86055556,22.99972222,22320,1/15/2019,1,#00e9d3,#0c1a1d,#0c1a1d,#0c1a1d,#0c1a1d,#0c1a1d,#0c1a1d,#0c1a1d
63,49.69222222,25.41805556,22321,1/24/2019,1,#00c183,#dbdfe2,#dbdfe2,#dbdfe2,#dbdfe2,#1fb742,#dbdfe2,#dbdfe2
64,49.12805556,23.28638889,22322,1/20/2019,1,#009832,#d5d6d8,#d5d6d8,#d5d6d8,#d5d6d8,#c0dd0b,#d5d6d8,#d5d6d8
65,38.63972222,24.11361111,22323,1/27/2019,1,#00f6ec,#3a3c2e,#3a3c2e,#3a3c2e,#3a3c2e,#00ab4b,#3a3c2e,#3a3c2e
66,38.24944444,18.1575,22324,1/12/2019,1,#b79faf,#b79faf,#b79faf,#b79faf,#b79faf,#b79faf,#b79faf,#b79faf
67,38.31888889,18.08055556,22325,1/12/2019,1,#cfc6cb,#cfc6cb,#cfc6cb,#cfc6cb,#cfc6cb,#cfc6cb,#cfc6cb,#cfc6cb
68,37.71555556,18.43416667,22326,1/13/2019,1,#a2a6a5,#a2a6a5,#a2a6a5,#a2a6a5,#a2a6a5,#a2a6a5,#a2a6a5,#a2a6a5
69,38.4675,17.98083333,22327,1/14/2019,1,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3
70,37.44194444,18.75111111,22328,1/14/2019,1,#cbcbcd,#cbcbcd,#cbcbcd,#cbcbcd,#cbcbcd,#cbcbcd,#cbcbcd,#cbcbcd
71,37.6,18.46611111,22329,1/18/2019,1,#e6e6e6,#e6e6e6,#e6e6e6,#e6e6e6,#e6e6e6,#e6e6e6,#e6e6e6,#e6e6e6
72,37.59111111,18.49416667,22330,1/18/2019,1,#dcdcdc,#dcdcdc,#dcdcdc,#dcdcdc,#dcdcdc,#dcdcdc,#dcdcdc,#dcdcdc
73,38.47194444,17.95972222,22331,1/19/2019,1,#b6b7bb,#b6b7bb,#b6b7bb,#b6b7bb,#b6b7bb,#b6b7bb,#b6b7bb,#b6b7bb
74,38.38083333,17.76888889,22332,2/22/2019,1,#6e757f,#6e757f,#6e757f,#6e757f,#6e757f,#6e757f,#6e757f,#6e757f
75,38.35888889,17.76638889,22333,2/28/2019,1,#1e2b33,#1e2b33,#1e2b33,#1e2b33,#1e2b33,#1e2b33,#1e2b33,#1e2b33
76,38.54888889,24.06611111,22334,2/6/2019,1,#00ffff,#757b7b,#757b7b,#757b7b,#757b7b,#007b2b,#757b7b,#757b7b
77,37.37083333,24.76777778,22335,2/5/2019,1,#283848,#283848,#283848,#283848,#283848,#283848,#283848,#283848
78,49.29027778,16.13638889,22336,2/25/2019,1,#5faf00,#898883,#898883,#898883,#898883,#4ec332,#898883,#898883
79,37.26888889,19.31916667,22337,2/4/2019,1,#6f6f6f,#6f6f6f,#6f6f6f,#6f6f6f,#6f6f6f,#6f6f6f,#6f6f6f,#6f6f6f
80,37.8675,18.29527778,22338,2/6/2019,1,#e8e9eb,#e8e9eb,#e8e9eb,#e8e9eb,#e8e9eb,#e8e9eb,#e8e9eb,#e8e9eb
81,57.33222222,26.7725,22339,2/22/2019,1,#00c183,#cdc7c9,#cdc7c9,#cdc7c9,#cdc7c9,#00943c,#cdc7c9,#cdc7c9
82,57.33694444,26.77361111,22340,2/23/2019,1,#00ba76,#e8e9ed,#e8e9ed,#e8e9ed,#e8e9ed,#00943c,#e8e9ed,#e8e9ed
83,57.33333333,26.77361111,22341,2/23/2019,1,#00ba76,#e7e8ec,#e7e8ec,#e7e8ec,#e7e8ec,#00943c,#e7e8ec,#e7e8ec
84,57.33583333,26.77027778,22342,2/23/2019,1,#00ba76,#e6e7eb,#e6e7eb,#e6e7eb,#e6e7eb,#00963d,#e6e7eb,#e6e7eb
85,37.24611111,25.48666667,22343,2/27/2019,1,#d5ea00,#272e3e,#272e3e,#272e3e,#272e3e,#272e3e,#272e3e,#272e3e
86,37.32638889,24.82333333,22344,2/21/2019,1,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a
87,37.32611111,24.82333333,22345,2/21/2019,1,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a
88,37.32611111,24.82333333,22346,2/21/2019,1,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a,#202c3a
89,37.18611111,25.48833333,22347,2/27/2019,1,#0c8500,#d4cece,#d4cece,#d4cece,#d4cece,#d4cece,#d4cece,#d4cece
90,38.99194444,22.93583333,22348,2/27/2019,1,#00f9ff,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#00a144,#f3f3f3,#f3f3f3
91,37.33055556,24.80777778,22349,2/23/2019,1,#cfd3d6,#cfd3d6,#cfd3d6,#cfd3d6,#cfd3d6,#cfd3d6,#cfd3d6,#cfd3d6
